"Team","Shot_Type","Sub_Type","X","Y","Shot_Outcome"
"Melbourne United","2pt","Driving Layup",92.79,40.12,"Miss"
"Melbourne United","2pt","Tip In",95,50,"Miss"
"Tasmania JackJumpers","3pt","Pull Up Jump Shot",26.57,21.88,"Make"
"Melbourne United","2pt","Jump Shot",94.54,89.25,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",32.23,46.64,"Make"
"Melbourne United","3pt","Jump Shot",69.21,62.76,"Miss"
"Melbourne United","3pt","Jump Shot",94.64,4.22,"Miss"
"Melbourne United","3pt","Jump Shot",74.56,17.66,"Make"
"Tasmania JackJumpers","3pt","Jump Shot",25.13,84.26,"Miss"
"Melbourne United","2pt","Driving Layup",91.56,33.59,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",19.57,8.45,"Miss"
"Melbourne United","2pt","Turn Around Jump Shot",80.54,39.35,"Make"
"Tasmania JackJumpers","3pt","Jump Shot",23.27,14.2,"Miss"
"Tasmania JackJumpers","2pt","Driving Layup",7.52,53.55,"Miss"
"Melbourne United","3pt","Jump Shot",70.55,29.37,"Make"
"Tasmania JackJumpers","2pt","Layup",9.37,45.11,"Make"
"Melbourne United","2pt","Layup",92.38,41.46,"Miss"
"Melbourne United","3pt","Jump Shot",80.02,11.52,"Miss"
"Melbourne United","2pt","Layup",90.73,45.49,"Miss"
"Tasmania JackJumpers","2pt","Turn Around Jump Shot",7.72,38.39,"Miss"
"Melbourne United","3pt","Jump Shot",79.92,10.36,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",23.89,11.13,"Make"
"Melbourne United","2pt","Alley Oop Dunk",92.07,42.61,"Miss"
"Tasmania JackJumpers","2pt","Layup",9.17,52.59,"Miss"
"Melbourne United","2pt","Turn Around Jump Shot",85.68,15.16,"Make"
"Tasmania JackJumpers","2pt","Layup",7.42,43.38,"Make"
"Melbourne United","3pt","Jump Shot",77.96,11.32,"Miss"
"Melbourne United","2pt","Turn Around Jump Shot",88.67,62.76,"Miss"
"Melbourne United","3pt","Jump Shot",78.37,87.33,"Miss"
"Tasmania JackJumpers","2pt","Pull Up Jump Shot",22.14,47.6,"Make"
"Tasmania JackJumpers","2pt","Floating Jump Shot",16.27,38.2,"Miss"
"Tasmania JackJumpers","2pt","Tip In",5,50,"Miss"
"Melbourne United","2pt","Driving Layup",93.41,40.5,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",21.01,89.64,"Miss"
"Melbourne United","2pt","Pull Up Jump Shot",83.42,17.27,"Make"
"Tasmania JackJumpers","2pt","Floating Jump Shot",8.65,57.77,"Make"
"Melbourne United","2pt","Dunk",91.56,57.2,"Make"
"Melbourne United","3pt","Jump Shot",72.19,73.32,"Miss"
"Tasmania JackJumpers","2pt","Fade Away",20.91,63.53,"Miss"
"Melbourne United","2pt","Layup",85.38,40.31,"Miss"
"Tasmania JackJumpers","2pt","Layup",8.75,42.61,"Make"
