"Team","Shot_Type","Sub_Type","X","Y","Shot_Outcome"
"Adelaide 36ers","2pt","Pull Up Jump Shot",23.07,78.12,"Make"
"Brisbane Bullets","3pt","Pull Up Jump Shot",70.13,34.17,"Miss"
"Adelaide 36ers","2pt","Reverse Layup",7.11,55.09,"Make"
"Brisbane Bullets","3pt","Pull Up Jump Shot",76.52,9.98,"Miss"
"Adelaide 36ers","3pt","Pull Up Jump Shot",23.58,14.2,"Make"
"Brisbane Bullets","2pt","Turn Around Jump Shot",94.13,16.7,"Make"
"Adelaide 36ers","2pt","Floating Jump Shot",4.22,76.2,"Make"
"Brisbane Bullets","3pt","Pull Up Jump Shot",84.65,5.37,"Make"
"Adelaide 36ers","3pt","Pull Up Jump Shot",25.64,81.19,"Miss"
"Brisbane Bullets","2pt","Driving Layup",92.38,57.39,"Miss"
"Adelaide 36ers","2pt","Dunk",10.4,46.45,"Make"
"Brisbane Bullets","2pt","Layup",91.97,47.98,"Make"
"Adelaide 36ers","2pt","Pull Up Jump Shot",5.36,81.57,"Make"
"Adelaide 36ers","3pt","Pull Up Jump Shot",26.36,83.3,"Miss"
"Brisbane Bullets","2pt","Driving Layup",91.45,46.07,"Make"
"Adelaide 36ers","2pt","Driving Layup",7.21,51.82,"Make"
"Brisbane Bullets","2pt","Reverse Layup",93,53.55,"Miss"
"Brisbane Bullets","2pt","Driving Layup",91.14,41.07,"Miss"
"Adelaide 36ers","2pt","Driving Layup",9.17,44.15,"Make"
"Adelaide 36ers","2pt","Pull Up Jump Shot",19.05,36.08,"Make"
"Brisbane Bullets","3pt","Jump Shot",93.51,3.07,"Make"
"Brisbane Bullets","3pt","Jump Shot",80.54,9.4,"Miss"
"Adelaide 36ers","3pt","Pull Up Jump Shot",24.61,84.26,"Miss"
"Brisbane Bullets","2pt","Alley Oop Dunk",92.79,47.02,"Make"
"Adelaide 36ers","3pt","Jump Shot",6.49,95.39,"Miss"
"Brisbane Bullets","3pt","Pull Up Jump Shot",74.15,82.53,"Miss"
"Adelaide 36ers","3pt","Pull Up Jump Shot",30.69,38.58,"Make"
"Adelaide 36ers","3pt","Jump Shot",5.25,96.35,"Miss"
"Brisbane Bullets","2pt","Pull Up Jump Shot",76.31,76.58,"Miss"
"Adelaide 36ers","3pt","Pull Up Jump Shot",22.76,11.9,"Make"
"Adelaide 36ers","2pt","Pull Up Jump Shot",3.81,18.43,"Make"
"Brisbane Bullets","2pt","Fade Away",95.16,79.27,"Miss"
"Adelaide 36ers","3pt","Pull Up Jump Shot",19.05,92.51,"Miss"
"Brisbane Bullets","2pt","Driving Layup",89.08,57.97,"Miss"
"Brisbane Bullets","3pt","Pull Up Jump Shot",73.64,81,"Miss"
"Adelaide 36ers","3pt","Pull Up Jump Shot",29.25,26.3,"Make"
"Adelaide 36ers","3pt","Pull Up Jump Shot",25.23,17.85,"Make"
"Brisbane Bullets","2pt","Driving Layup",93.51,39.16,"Make"
"Adelaide 36ers","2pt","Layup",9.06,40.31,"Miss"
"Brisbane Bullets","2pt","Pull Up Jump Shot",79.2,38.58,"Miss"
"Adelaide 36ers","3pt","Pull Up Jump Shot",29.87,69.48,"Miss"
"Adelaide 36ers","3pt","Pull Up Jump Shot",3.4,4.41,"Miss"
"Brisbane Bullets","2pt","Dunk",93.51,46.83,"Make"
"Adelaide 36ers","3pt","Pull Up Jump Shot",32.23,56.24,"Miss"
"Brisbane Bullets","3pt","Pull Up Jump Shot",70.55,66.41,"Miss"
"Adelaide 36ers","3pt","Jump Shot",5.05,95.78,"Miss"
"Adelaide 36ers","2pt","Reverse Layup",10.3,42.99,"Miss"
"Brisbane Bullets","2pt","Layup",91.97,57.2,"Make"
"Adelaide 36ers","2pt","Pull Up Jump Shot",19.16,38.77,"Make"
"Adelaide 36ers","2pt","Tip In",5,50,"Miss"
"Brisbane Bullets","3pt","Pull Up Jump Shot",83.01,95.59,"Miss"
"Adelaide 36ers","3pt","Jump Shot",4.84,95.59,"Miss"
"Brisbane Bullets","3pt","Jump Shot",79.81,9.4,"Miss"
"Adelaide 36ers","3pt","Jump Shot",23.27,5.57,"Miss"
"Brisbane Bullets","2pt","Layup",88.67,54.51,"Make"
"Brisbane Bullets","3pt","Jump Shot",77.86,85.6,"Miss"
"Brisbane Bullets","3pt","Pull Up Jump Shot",69.93,21.88,"Miss"
"Brisbane Bullets","2pt","Driving Layup",86.71,50.29,"Make"
"Adelaide 36ers","3pt","Pull Up Jump Shot",21.32,10.56,"Miss"
"Brisbane Bullets","3pt","Pull Up Jump Shot",74.15,81.77,"Miss"
"Adelaide 36ers","2pt","Pull Up Jump Shot",7.42,15.74,"Miss"
"Brisbane Bullets","3pt","Pull Up Jump Shot",75.28,81.19,"Miss"
"Adelaide 36ers","3pt","Turn Around Jump Shot",27.7,80.61,"Miss"
"Adelaide 36ers","3pt","Jump Shot",75.55,82.47,"Make"
"Cairns Taipans","2pt","Pull Up Jump Shot",14.47,33.99,"Make"
"Adelaide 36ers","2pt","Turn Around Jump Shot",80.05,51.22,"Make"
"Cairns Taipans","3pt","Jump Shot",6.7,97.56,"Make"
"Adelaide 36ers","2pt","Driving Layup",93.05,46.95,"Miss"
"Adelaide 36ers","2pt","Layup",92.15,45.73,"Make"
"Cairns Taipans","3pt","Pull Up Jump Shot",23.3,17.53,"Miss"
"Cairns Taipans","3pt","Jump Shot",19.38,9.6,"Miss"
"Cairns Taipans","2pt","Driving Layup",9.32,41.62,"Miss"
"Adelaide 36ers","2pt","Pull Up Jump Shot",84.71,40.4,"Make"
"Cairns Taipans","2pt","Turn Around Jump Shot",9.24,40.85,"Miss"
"Cairns Taipans","2pt","Dunk",5,50,"Make"
"Adelaide 36ers","2pt","Floating Jump Shot",90.6,56.55,"Miss"
"Adelaide 36ers","3pt","Jump Shot",75.22,87.2,"Miss"
"Cairns Taipans","2pt","Layup",10.47,49.54,"Make"
"Adelaide 36ers","3pt","Jump Shot",67.54,38.41,"Make"
"Cairns Taipans","2pt","Driving Layup",6.7,57.77,"Miss"
"Adelaide 36ers","3pt","Jump Shot",78.66,89.02,"Miss"
"Cairns Taipans","2pt","Driving Layup",8.18,53.35,"Make"
"Adelaide 36ers","2pt","Pull Up Jump Shot",81.52,35.98,"Make"
"Adelaide 36ers","2pt","Pull Up Jump Shot",90.27,47.56,"Miss"
"Adelaide 36ers","2pt","Tip In",95,50,"Make"
"Cairns Taipans","3pt","Jump Shot",17.09,7.01,"Miss"
"Adelaide 36ers","2pt","Fade Away",82.42,50.3,"Make"
"Cairns Taipans","2pt","Fade Away",8.01,61.89,"Miss"
"Adelaide 36ers","3pt","Jump Shot",66.97,51.22,"Make"
"Cairns Taipans","2pt","Turn Around Jump Shot",17.09,71.8,"Make"
"Cairns Taipans","2pt","Fade Away",15.13,51.22,"Make"
"Adelaide 36ers","3pt","Jump Shot",90.76,1.22,"Miss"
"Adelaide 36ers","3pt","Jump Shot",76.53,15.24,"Miss"
"Adelaide 36ers","2pt","Reverse Layup",92.89,44.97,"Make"
"Adelaide 36ers","2pt","Pull Up Jump Shot",80.05,17.23,"Make"
"Cairns Taipans","2pt","Driving Layup",9.08,56.1,"Make"
"Adelaide 36ers","2pt","Driving Layup",95.99,57.32,"Make"
"Cairns Taipans","3pt","Jump Shot",21.18,7.93,"Miss"
"Adelaide 36ers","3pt","Pull Up Jump Shot",75.14,12.96,"Make"
"Cairns Taipans","3pt","Jump Shot",29.84,31.86,"Make"
"Adelaide 36ers","2pt","Driving Layup",92.56,44.05,"Make"
"Cairns Taipans","2pt","Turn Around Jump Shot",8.5,64.63,"Make"
"Cairns Taipans","3pt","Jump Shot",25.92,12.2,"Miss"
"Cairns Taipans","2pt","Pull Up Jump Shot",21.18,34.45,"Miss"
"Cairns Taipans","2pt","Tip In",5,50,"Make"
"Adelaide 36ers","2pt","Layup",93.05,55.49,"Make"
"Cairns Taipans","2pt","Floating Jump Shot",8.01,58.38,"Make"
"Adelaide 36ers","2pt","Layup",93.46,48.02,"Make"
"Cairns Taipans","2pt","Layup",11.86,41.62,"Miss"
"Adelaide 36ers","3pt","Jump Shot",80.05,89.79,"Make"
"Cairns Taipans","2pt","Alley Oop Dunk",8.99,45.12,"Make"
"Adelaide 36ers","2pt","Turn Around Jump Shot",92.07,66.01,"Miss"
"Adelaide 36ers","2pt","Layup",92.64,46.34,"Miss"
"Cairns Taipans","3pt","Jump Shot",26.57,17.38,"Miss"
"Adelaide 36ers","3pt","Jump Shot",71.95,23.93,"Miss"
"Cairns Taipans","3pt","Pull Up Jump Shot",30.5,71.49,"Miss"
"Adelaide 36ers","2pt","Driving Layup",94.28,54.57,"Miss"
"Cairns Taipans","3pt","Jump Shot",5.81,95.73,"Make"
"Cairns Taipans","2pt","Pull Up Jump Shot",10.79,44.97,"Make"
"Adelaide 36ers","3pt","Pull Up Jump Shot",74.24,15.7,"Miss"
"Cairns Taipans","2pt","Jump Shot",11.69,51.07,"Miss"
"Adelaide 36ers","3pt","Jump Shot",78.74,7.93,"Miss"
"Cairns Taipans","2pt","Turn Around Jump Shot",15.45,51.52,"Miss"
"Adelaide 36ers","3pt","Jump Shot",81.52,89.94,"Miss"
"Adelaide 36ers","2pt","Layup",93.95,54.27,"Miss"
"Cairns Taipans","2pt","Fade Away",21.34,37.96,"Miss"
"Adelaide 36ers","2pt","Step Back Jump Shot",75.55,33.54,"Make"
"Cairns Taipans","2pt","Floating Jump Shot",9.98,22.26,"Make"
"Cairns Taipans","3pt","Jump Shot",25.76,83.08,"Miss"
"Adelaide 36ers","2pt","Layup",92.97,60.21,"Miss"
"Cairns Taipans","3pt","Jump Shot",16.03,93.45,"Miss"
"Adelaide 36ers","2pt","Pull Up Jump Shot",90.43,83.23,"Make"
"Cairns Taipans","3pt","Jump Shot",31.64,45.43,"Miss"
"Cairns Taipans","3pt","Jump Shot",21.1,8.54,"Miss"
"Cairns Taipans","2pt","Pull Up Jump Shot",22.08,56.86,"Miss"
"Cairns Taipans","2pt","Tip In",5,50,"Miss"
"Adelaide 36ers","3pt","Jump Shot",6.38,97.26,"Miss"
"Cairns Taipans","3pt","Jump Shot",72.04,78.2,"Make"
"Adelaide 36ers","3pt","Jump Shot",3.68,5.34,"Miss"
"Cairns Taipans","2pt","Fade Away",86.51,44.05,"Make"
"Adelaide 36ers","2pt","Driving Layup",8.75,61.43,"Make"
"Cairns Taipans","3pt","Step Back Jump Shot",84.14,5.95,"Miss"
"Adelaide 36ers","3pt","Jump Shot",16.19,5.18,"Make"
"Cairns Taipans","2pt","Driving Layup",91.91,39.33,"Miss"
"Adelaide 36ers","2pt","Jump Shot",10.87,48.93,"Miss"
"Adelaide 36ers","3pt","Pull Up Jump Shot",31.15,37.65,"Miss"
"Adelaide 36ers","2pt","Layup",10.71,44.82,"Make"
"Cairns Taipans","2pt","Driving Layup",92.64,59.3,"Make"
"Adelaide 36ers","3pt","Jump Shot",21.83,11.89,"Make"
"Cairns Taipans","2pt","Layup",91.41,41.77,"Make"
"Adelaide 36ers","2pt","Layup",9.24,46.8,"Make"
"Cairns Taipans","2pt","Jump Shot",80.21,45.27,"Make"
"Adelaide 36ers","3pt","Jump Shot",28.78,23.63,"Miss"
"Cairns Taipans","2pt","Driving Layup",85.36,54.57,"Make"
"Adelaide 36ers","2pt","Layup",8.26,43.9,"Make"
"Adelaide 36ers","2pt","Pull Up Jump Shot",16.6,78.81,"Miss"
"Adelaide 36ers","2pt","Tip In",5,50,"Miss"
"Adelaide 36ers","3pt","Step Back Jump Shot",23.3,14.02,"Miss"
"Adelaide 36ers","2pt","Layup",10.3,57.62,"Make"
"Cairns Taipans","2pt","Pull Up Jump Shot",80.95,37.2,"Make"
"Adelaide 36ers","3pt","Jump Shot",25.76,83.54,"Miss"
"Cairns Taipans","2pt","Jump Shot",83.97,41.62,"Miss"
"Adelaide 36ers","3pt","Jump Shot",25.27,80.95,"Miss"
"Adelaide 36ers","2pt","Reverse Layup",5.64,45.88,"Make"
"Cairns Taipans","2pt","Jump Shot",89.13,25.91,"Miss"
"Cairns Taipans","2pt","Tip In",95,50,"Miss"
"Cairns Taipans","2pt","Tip In",95,50,"Make"
"Adelaide 36ers","2pt","Pull Up Jump Shot",8.09,54.27,"Miss"
"Adelaide 36ers","3pt","Jump Shot",23.71,84.91,"Make"
"Cairns Taipans","3pt","Jump Shot",72.69,17.84,"Miss"
"Adelaide 36ers","2pt","Pull Up Jump Shot",18.56,22.41,"Miss"
"Cairns Taipans","2pt","Turn Around Jump Shot",85.53,70.12,"Make"
"Adelaide 36ers","2pt","Driving Layup",8.99,43.75,"Miss"
"Adelaide 36ers","3pt","Pull Up Jump Shot",23.22,85.52,"Make"
"Cairns Taipans","2pt","Pull Up Jump Shot",85.36,19.82,"Make"
"Adelaide 36ers","3pt","Fade Away",31.64,9.76,"Make"
"Cairns Taipans","3pt","Jump Shot",79.15,8.69,"Miss"
"Adelaide 36ers","2pt","Layup",9.73,47.71,"Make"
"Cairns Taipans","2pt","Hook Shot",92.15,45.88,"Miss"
"Adelaide 36ers","3pt","Jump Shot",31.32,21.34,"Make"
"Cairns Taipans","3pt","Jump Shot",74.41,83.84,"Miss"
"Adelaide 36ers","2pt","Driving Layup",5.97,41.01,"Miss"
"Adelaide 36ers","3pt","Jump Shot",16.19,94.66,"Miss"
"Adelaide 36ers","2pt","Layup",11.2,45.12,"Miss"
"Adelaide 36ers","2pt","Layup",7.6,44.97,"Make"
"Cairns Taipans","3pt","Jump Shot",81.77,9.91,"Make"
"Adelaide 36ers","3pt","Pull Up Jump Shot",29.3,23.89,"Make"
"Adelaide 36ers","3pt","Jump Shot",23.47,90.4,"Miss"
"Cairns Taipans","2pt","Pull Up Jump Shot",94.77,76.83,"Make"
"Cairns Taipans","3pt","Jump Shot",70.65,29.73,"Miss"
"Adelaide 36ers","2pt","Driving Layup",12.43,41.77,"Miss"
"Adelaide 36ers","3pt","Jump Shot",26.74,18.29,"Miss"
"Adelaide 36ers","2pt","Reverse Layup",11.94,42.07,"Make"
"Cairns Taipans","2pt","Driving Layup",91.91,56.71,"Make"
"Adelaide 36ers","3pt","Jump Shot",4.74,97.1,"Miss"
"Cairns Taipans","3pt","Jump Shot",72.36,71.95,"Make"
"Adelaide 36ers","2pt","Layup",5.89,46.65,"Make"
"Adelaide 36ers","2pt","Jump Shot",10.63,45.12,"Miss"
"Adelaide 36ers","2pt","Driving Layup",12.26,36.43,"Miss"
"Cairns Taipans","3pt","Pull Up Jump Shot",74.33,82.93,"Miss"
"Cairns Taipans","3pt","Jump Shot",71.45,71.67,"Miss"
"Adelaide 36ers","2pt","Reverse Layup",7.2,53.66,"Make"
"Cairns Taipans","2pt","Jump Shot",90.68,39.94,"Miss"
"Cairns Taipans","2pt","Step Back Jump Shot",91.5,11.59,"Miss"
"Cairns Taipans","2pt","Layup",93.79,42.84,"Make"
"Adelaide 36ers","2pt","Driving Layup",6.05,57.47,"Miss"
"Cairns Taipans","3pt","Jump Shot",69.66,29.88,"Miss"
"Cairns Taipans","2pt","Driving Layup",85.94,51.37,"Miss"
"Adelaide 36ers","2pt","Layup",11.04,46.04,"Make"
"Cairns Taipans","2pt","Hook Shot",92.48,55.03,"Miss"
"Cairns Taipans","2pt","Step Back Jump Shot",95.5,20.27,"Make"
"Adelaide 36ers","2pt","Driving Layup",11.28,47.87,"Make"
"Cairns Taipans","3pt","Jump Shot",74.08,81.86,"Miss"
"Cairns Taipans","3pt","Jump Shot",71.14,70.43,"Make"
"Adelaide 36ers","3pt","Step Back Jump Shot",25.43,18.45,"Miss"
"Cairns Taipans","2pt","Driving Layup",92.4,36.89,"Miss"
"Cairns Taipans","2pt","Dunk",95,50,"Make"
"Perth Wildcats","3pt","Jump Shot",68.02,43.44,"Miss"
"Perth Wildcats","3pt","Jump Shot",70.93,29.86,"Miss"
"Illawarra Hawks","3pt","Jump Shot",18.06,93.36,"Make"
"Perth Wildcats","3pt","Jump Shot",72.87,15.38,"Miss"
"Illawarra Hawks","2pt","Driving Layup",6.15,56.71,"Miss"
"Perth Wildcats","3pt","Jump Shot",92.47,97.13,"Miss"
"Illawarra Hawks","2pt","Driving Layup",6.32,56.71,"Miss"
"Perth Wildcats","3pt","Step Back Jump Shot",69.31,37.41,"Miss"
"Perth Wildcats","2pt","Pull Up Jump Shot",87.61,50.98,"Miss"
"Perth Wildcats","2pt","Hook Shot",91.17,57.92,"Miss"
"Illawarra Hawks","2pt","Floating Jump Shot",15.22,65.91,"Miss"
"Perth Wildcats","2pt","Driving Layup",92.31,55.05,"Miss"
"Illawarra Hawks","3pt","Jump Shot",5.75,4.37,"Make"
"Perth Wildcats","2pt","Driving Layup",91.26,49.92,"Make"
"Illawarra Hawks","3pt","Pull Up Jump Shot",23.97,88.08,"Make"
"Perth Wildcats","3pt","Jump Shot",70.77,74.06,"Miss"
"Illawarra Hawks","3pt","Step Back Jump Shot",25.99,18.4,"Miss"
"Perth Wildcats","2pt","Pull Up Jump Shot",88.91,64.71,"Make"
"Illawarra Hawks","3pt","Pull Up Jump Shot",16.03,96.08,"Make"
"Illawarra Hawks","2pt","Floating Jump Shot",7.85,58.97,"Miss"
"Perth Wildcats","3pt","Jump Shot",71.5,15.84,"Miss"
"Illawarra Hawks","2pt","Pull Up Jump Shot",16.11,43.59,"Make"
"Perth Wildcats","3pt","Jump Shot",71.58,20.66,"Miss"
"Illawarra Hawks","3pt","Step Back Jump Shot",24.78,15.84,"Make"
"Illawarra Hawks","2pt","Floating Jump Shot",11.17,44.8,"Miss"
"Illawarra Hawks","3pt","Step Back Jump Shot",28.18,75.41,"Miss"
"Perth Wildcats","2pt","Turn Around Jump Shot",91.42,39.37,"Make"
"Illawarra Hawks","3pt","Jump Shot",31.09,65.31,"Miss"
"Illawarra Hawks","3pt","Jump Shot",27.69,78.43,"Miss"
"Perth Wildcats","2pt","Pull Up Jump Shot",85.99,76.47,"Miss"
"Illawarra Hawks","2pt","Turn Around Jump Shot",5.99,57.92,"Miss"
"Illawarra Hawks","2pt","Tip In",5,50,"Miss"
"Perth Wildcats","3pt","Jump Shot",33.04,15.84,"Miss"
"Illawarra Hawks","2pt","Hook Shot",9.31,41.93,"Make"
"Perth Wildcats","2pt","Floating Jump Shot",93.2,35.75,"Make"
"Illawarra Hawks","2pt","Floating Jump Shot",5.99,61.24,"Make"
"Perth Wildcats","2pt","Layup",92.63,46.76,"Make"
"Perth Wildcats","3pt","Step Back Jump Shot",70.69,18.85,"Make"
"Illawarra Hawks","2pt","Driving Layup",7.61,52.34,"Miss"
"Perth Wildcats","2pt","Driving Layup",91.82,44.19,"Miss"
"Perth Wildcats","2pt","Tip In",95,50,"Make"
"Illawarra Hawks","3pt","Jump Shot",29.47,25.94,"Miss"
"Perth Wildcats","2pt","Layup",92.87,47.66,"Make"
"Perth Wildcats","3pt","Jump Shot",78.62,11.76,"Miss"
"Illawarra Hawks","2pt","Turn Around Jump Shot",5.83,53.85,"Make"
"Perth Wildcats","3pt","Jump Shot",71.58,19.31,"Make"
"Illawarra Hawks","2pt","Driving Layup",7.37,39.06,"Make"
"Perth Wildcats","2pt","Turn Around Jump Shot",82.59,41.78,"Miss"
"Illawarra Hawks","2pt","Pull Up Jump Shot",21.3,48.57,"Make"
"Perth Wildcats","2pt","Hook Shot",85.18,49.32,"Make"
"Illawarra Hawks","2pt","Driving Layup",5.83,57.47,"Make"
"Illawarra Hawks","2pt","Floating Jump Shot",8.58,61.39,"Miss"
"Illawarra Hawks","3pt","Jump Shot",4.37,95.93,"Make"
"Illawarra Hawks","2pt","Layup",6.4,54.6,"Make"
"Illawarra Hawks","2pt","Floating Jump Shot",8.99,66.06,"Miss"
"Perth Wildcats","2pt","Floating Jump Shot",92.31,60.33,"Miss"
"Perth Wildcats","2pt","Layup",93.44,49.62,"Miss"
"Illawarra Hawks","2pt","Fade Away",15.71,54.15,"Miss"
"Perth Wildcats","3pt","Jump Shot",65.18,62.29,"Miss"
"Illawarra Hawks","2pt","Driving Layup",7.45,49.92,"Miss"
"Perth Wildcats","3pt","Jump Shot",90.36,96.83,"Make"
"Perth Wildcats","2pt","Layup",94.41,54.45,"Make"
"Perth Wildcats","2pt","Layup",94.49,55.05,"Make"
"Illawarra Hawks","3pt","Jump Shot",25.71,27.78,"Miss"
"Perth Wildcats","3pt","Pull Up Jump Shot",69.72,35.44,"Make"
"Illawarra Hawks","2pt","Jump Shot",15.55,51.13,"Make"
"Perth Wildcats","3pt","Pull Up Jump Shot",77.57,12.22,"Make"
"Illawarra Hawks","2pt","Hook Shot",10.04,54.75,"Make"
"Perth Wildcats","2pt","Hook Shot",94.66,56.56,"Miss"
"Illawarra Hawks","2pt","Jump Shot",90.69,39.82,"Make"
"Illawarra Hawks","3pt","Step Back Jump Shot",75.14,84.31,"Miss"
"Perth Wildcats","2pt","Floating Jump Shot",14.57,45.25,"Make"
"Illawarra Hawks","2pt","Driving Layup",91.5,38.46,"Miss"
"Illawarra Hawks","2pt","Tip In",95,50,"Make"
"Perth Wildcats","3pt","Jump Shot",5.91,4.52,"Miss"
"Perth Wildcats","2pt","Layup",6.4,51.58,"Make"
"Illawarra Hawks","2pt","Turn Around Jump Shot",92.23,35.44,"Miss"
"Illawarra Hawks","2pt","Tip In",95,50,"Miss"
"Illawarra Hawks","2pt","Tip In",95,50,"Miss"
"Perth Wildcats","2pt","Layup",7.53,45.1,"Make"
"Illawarra Hawks","3pt","Pull Up Jump Shot",76.92,14.33,"Miss"
"Perth Wildcats","3pt","Step Back Jump Shot",24.94,82.5,"Make"
"Perth Wildcats","2pt","Driving Layup",7.94,46,"Make"
"Illawarra Hawks","2pt","Turn Around Jump Shot",88.18,45.7,"Make"
"Illawarra Hawks","2pt","Layup",94.49,55.66,"Miss"
"Perth Wildcats","2pt","Turn Around Jump Shot",10.85,53.09,"Make"
"Illawarra Hawks","2pt","Dunk",94.25,56.56,"Make"
"Perth Wildcats","2pt","Layup",8.83,51.13,"Make"
"Illawarra Hawks","3pt","Pull Up Jump Shot",69.72,33.79,"Miss"
"Perth Wildcats","3pt","Jump Shot",30.28,24.43,"Make"
"Illawarra Hawks","2pt","Driving Layup",90.36,46.46,"Miss"
"Perth Wildcats","3pt","Jump Shot",5.02,96.98,"Miss"
"Perth Wildcats","2pt","Layup",6.23,46.15,"Make"
"Illawarra Hawks","3pt","Jump Shot",71.66,77.83,"Miss"
"Perth Wildcats","3pt","Jump Shot",25.83,82.96,"Make"
"Illawarra Hawks","3pt","Jump Shot",68.5,40.72,"Miss"
"Illawarra Hawks","2pt","Pull Up Jump Shot",77.41,68.17,"Miss"
"Perth Wildcats","3pt","Pull Up Jump Shot",30.77,40.57,"Miss"
"Illawarra Hawks","2pt","Fade Away",85.18,55.35,"Miss"
"Perth Wildcats","2pt","Fade Away",6.4,67.27,"Miss"
"Illawarra Hawks","2pt","Jump Shot",90.61,47.81,"Miss"
"Illawarra Hawks","2pt","Floating Jump Shot",91.17,52.19,"Make"
"Perth Wildcats","3pt","Jump Shot",5.02,96.68,"Miss"
"Illawarra Hawks","2pt","Turn Around Jump Shot",86.64,54,"Miss"
"Perth Wildcats","3pt","Jump Shot",22.59,87.63,"Miss"
"Illawarra Hawks","3pt","Jump Shot",75.55,15.54,"Miss"
"Perth Wildcats","3pt","Pull Up Jump Shot",31.01,32.28,"Miss"
"Perth Wildcats","2pt","Pull Up Jump Shot",7.61,33.79,"Make"
"Illawarra Hawks","2pt","Alley Oop",93.77,48.11,"Miss"
"Illawarra Hawks","2pt","Layup",92.15,46.61,"Make"
"Perth Wildcats","3pt","Jump Shot",8.74,96.83,"Make"
"Illawarra Hawks","3pt","Jump Shot",87.29,4.83,"Miss"
"Perth Wildcats","2pt","Pull Up Jump Shot",7.53,24.89,"Make"
"Perth Wildcats","2pt","Floating Jump Shot",9.64,44.95,"Miss"
"Perth Wildcats","2pt","Driving Layup",7.69,54.6,"Make"
"Illawarra Hawks","2pt","Fade Away",79.51,51.13,"Miss"
"Perth Wildcats","2pt","Floating Jump Shot",8.74,59.58,"Miss"
"Illawarra Hawks","3pt","Jump Shot",70.45,67.27,"Make"
"Perth Wildcats","3pt","Pull Up Jump Shot",25.34,82.81,"Miss"
"Perth Wildcats","2pt","Driving Layup",8.99,54.45,"Make"
"Perth Wildcats","3pt","Step Back Jump Shot",29.72,66.37,"Miss"
"Illawarra Hawks","3pt","Fade Away",94.01,96.68,"Miss"
"Illawarra Hawks","3pt","Step Back Jump Shot",75.38,15.69,"Miss"
"Illawarra Hawks","3pt","Step Back Jump Shot",75.38,86.88,"Miss"
"Illawarra Hawks","2pt","Jump Shot",93.28,53.09,"Miss"
"Perth Wildcats","3pt","Jump Shot",5.99,96.38,"Miss"
"Illawarra Hawks","3pt","Jump Shot",90.45,4.37,"Make"
"Perth Wildcats","2pt","Pull Up Jump Shot",17.89,69.68,"Miss"
"Illawarra Hawks","2pt","Floating Jump Shot",93.12,40.87,"Miss"
"Perth Wildcats","2pt","Turn Around Jump Shot",17.65,37.1,"Miss"
"Illawarra Hawks","3pt","Jump Shot",70.77,73.91,"Miss"
"Illawarra Hawks","2pt","Dunk",93.44,51.73,"Make"
"Perth Wildcats","3pt","Pull Up Jump Shot",28.5,74.81,"Make"
"Illawarra Hawks","2pt","Fade Away",90.85,46,"Make"
"Perth Wildcats","2pt","Pull Up Jump Shot",20.08,26.24,"Miss"
"Illawarra Hawks","2pt","Layup",92.87,55.96,"Make"
"Perth Wildcats","3pt","Pull Up Jump Shot",27.45,21.87,"Make"
"Illawarra Hawks","2pt","Layup",93.04,45.4,"Miss"
"Illawarra Hawks","2pt","Tip In",95,50,"Make"
"Perth Wildcats","2pt","Driving Layup",8.26,58.07,"Miss"
"Illawarra Hawks","2pt","Driving Layup",93.36,58.82,"Make"
"Illawarra Hawks","3pt","Jump Shot",74.49,16.44,"Make"
"Sydney Kings","3pt","Jump Shot",23.24,10.86,"Miss"
"New Zealand Breakers","3pt","Jump Shot",78.87,94.27,"Miss"
"Sydney Kings","2pt","Turn Around Jump Shot",23.32,32.73,"Miss"
"New Zealand Breakers","3pt","Jump Shot",68.91,60.33,"Miss"
"Sydney Kings","3pt","Pull Up Jump Shot",27.77,22.93,"Miss"
"New Zealand Breakers","3pt","Jump Shot",87.61,97.44,"Make"
"Sydney Kings","2pt","Layup",11.58,52.79,"Make"
"Sydney Kings","3pt","Jump Shot",13.93,97.13,"Miss"
"Sydney Kings","3pt","Jump Shot",21.13,7.99,"Make"
"New Zealand Breakers","3pt","Jump Shot",72.96,85.22,"Miss"
"New Zealand Breakers","2pt","Layup",92.47,58.52,"Make"
"Sydney Kings","2pt","Driving Layup",13.77,59.58,"Make"
"New Zealand Breakers","3pt","Pull Up Jump Shot",68.18,41.63,"Miss"
"Sydney Kings","2pt","Step Back Jump Shot",17.25,71.34,"Make"
"New Zealand Breakers","2pt","Driving Layup",88.83,46.46,"Make"
"Sydney Kings","3pt","Jump Shot",15.71,94.72,"Make"
"New Zealand Breakers","3pt","Jump Shot",77.89,12.07,"Miss"
"New Zealand Breakers","3pt","Jump Shot",74.01,17.8,"Make"
"Sydney Kings","2pt","Turn Around Jump Shot",10.45,42.23,"Make"
"New Zealand Breakers","3pt","Pull Up Jump Shot",71.66,19.91,"Miss"
"Sydney Kings","2pt","Turn Around Jump Shot",15.14,46.91,"Make"
"New Zealand Breakers","3pt","Jump Shot",71.42,22.02,"Miss"
"Sydney Kings","2pt","Driving Layup",14.74,50.23,"Make"
"New Zealand Breakers","2pt","Driving Layup",83.81,48.11,"Make"
"Sydney Kings","2pt","Jump Shot",13.04,43.44,"Miss"
"Sydney Kings","2pt","Turn Around Jump Shot",20.32,29.41,"Miss"
"New Zealand Breakers","2pt","Driving Layup",88.1,39.67,"Miss"
